clean_date,SAMPLE,WEIGHT,APPROVE,DISAPPROVE,ADJUSTED_APPROVE,ADJUSTED_DISAPPROVE,day,month,year
2021-05-17,5502.636363636364,0.8109090909090909,55.09090909090909,40.63636363636363,54.27272727272727,41.36363636363637,17,5,2021
2021-05-18,5851.5,0.9490000000000001,54.8,40.4,54.4,40.9,18,5,2021
2021-05-19,5917.6,0.8230000000000001,56.4,38.9,55.5,40.0,19,5,2021
2021-05-20,5730.2,0.882,55.9,39.5,55.2,40.2,20,5,2021
2021-05-21,7077.75,0.67375,53.25,40.125,53.25,40.75,21,5,2021
2021-05-22,5422.181818181818,0.7809090909090909,53.0,40.36363636363637,53.09090909090909,40.72727272727273,22,5,2021
2021-05-23,5744.4,0.8539999999999999,52.7,40.6,52.9,40.7,23,5,2021
2021-05-24,5803.0,0.884,52.4,41.1,52.7,41.3,24,5,2021
2021-05-25,7615.571428571428,0.8442857142857143,52.714285714285715,40.57142857142857,53.0,40.57142857142857,25,5,2021
2021-05-26,6748.0,0.9275,53.375,39.5,53.25,40.5,26,5,2021
2021-05-27,8646.166666666666,0.9783333333333334,54.5,38.833333333333336,53.833333333333336,40.166666666666664,27,5,2021
2021-05-28,12501.0,1.0425,53.75,38.0,54.0,39.25,28,5,2021
2021-05-29,12549.75,0.6725,53.0,40.0,53.25,40.25,29,5,2021
2021-05-30,12473.25,1.02,54.25,40.5,53.75,40.25,30,5,2021
2021-05-31,12473.25,1.02,54.25,40.5,53.75,40.25,31,5,2021
2021-06-01,10181.0,1.108,53.8,41.6,53.4,41.2,1,6,2021
2021-06-02,9807.2,0.858,52.2,42.8,52.4,42.2,2,6,2021
2021-06-03,7348.0,0.9528571428571428,52.857142857142854,42.0,52.714285714285715,41.857142857142854,3,6,2021
2021-06-04,5807.8,0.7470000000000001,52.6,41.2,52.3,42.4,4,6,2021
2021-06-05,5370.727272727273,0.81,52.54545454545455,41.54545454545455,52.27272727272727,42.54545454545455,5,6,2021
2021-06-06,5487.181818181818,0.7909090909090909,52.18181818181818,42.18181818181818,52.09090909090909,42.72727272727273,6,6,2021
2021-06-07,5186.666666666667,0.915,53.166666666666664,41.916666666666664,52.666666666666664,42.75,7,6,2021
2021-06-08,6316.666666666667,1.09,53.111111111111114,42.111111111111114,52.77777777777778,42.44444444444444,8,6,2021
2021-06-09,6107.111111111111,1.1722222222222223,53.22222222222222,42.55555555555556,52.888888888888886,42.666666666666664,9,6,2021
2021-06-10,5520.5,1.142,52.5,43.2,52.2,43.1,10,6,2021
2021-06-11,5677.181818181818,1.059090909090909,52.81818181818182,43.18181818181818,52.36363636363637,43.18181818181818,11,6,2021
2021-06-12,5677.181818181818,1.059090909090909,52.81818181818182,43.18181818181818,52.36363636363637,43.18181818181818,12,6,2021
2021-06-13,5329.083333333333,1.0391666666666668,52.416666666666664,43.166666666666664,52.083333333333336,43.25,13,6,2021
2021-06-14,5004.615384615385,1.2323076923076923,52.46153846153846,42.76923076923077,52.23076923076923,42.61538461538461,14,6,2021
2021-06-15,5527.5,1.1858333333333333,53.5,41.416666666666664,53.333333333333336,41.666666666666664,15,6,2021
2021-06-16,5727.090909090909,1.12,53.90909090909091,41.72727272727273,53.54545454545455,41.90909090909091,16,6,2021
2021-06-17,5341.5,1.1116666666666666,53.833333333333336,41.75,53.333333333333336,42.083333333333336,17,6,2021
2021-06-18,4823.692307692308,0.8984615384615384,53.53846153846154,42.23076923076923,53.15384615384615,42.69230769230769,18,6,2021
2021-06-19,4822.846153846154,0.9161538461538462,53.53846153846154,42.30769230769231,53.0,42.76923076923077,19,6,2021
2021-06-20,5074.333333333333,0.9475000000000001,53.5,42.583333333333336,53.0,42.916666666666664,20,6,2021
2021-06-21,6979.625,1.07375,54.0,42.375,53.75,42.375,21,6,2021
2021-06-22,5874.4,0.9369999999999999,53.3,42.0,53.3,42.4,22,6,2021
2021-06-23,7030.875,0.7575000000000001,53.0,41.875,53.0,42.625,23,6,2021
2021-06-24,7630.285714285715,0.85,52.714285714285715,41.857142857142854,52.57142857142857,42.142857142857146,24,6,2021
2021-06-25,12276.0,0.9775,52.75,42.0,52.25,43.25,25,6,2021
2021-06-26,10120.8,0.962,51.8,42.2,51.6,43.4,26,6,2021
2021-06-27,7573.0,1.0514285714285714,51.0,43.285714285714285,51.285714285714285,43.142857142857146,27,6,2021
2021-06-28,7573.0,1.0514285714285714,51.0,43.285714285714285,51.285714285714285,43.142857142857146,28,6,2021
2021-06-29,8495.333333333334,1.2550000000000001,51.5,42.833333333333336,51.5,42.5,29,6,2021
2021-06-30,4896.833333333333,1.2766666666666666,52.5,41.666666666666664,52.0,42.166666666666664,30,6,2021
2021-07-01,6881.0,1.18,51.25,42.0,51.25,42.75,1,7,2021
2021-07-02,6880.75,1.2475,52.25,42.25,52.75,42.75,2,7,2021
2021-07-03,6899.75,0.8325,52.5,43.0,53.0,42.5,3,7,2021
2021-07-04,6899.75,0.8325,52.5,43.0,53.0,42.5,4,7,2021
2021-07-05,6819.25,0.85,53.5,42.0,53.25,42.0,5,7,2021
2021-07-06,5379.833333333333,0.835,52.833333333333336,43.0,52.5,43.333333333333336,6,7,2021
2021-07-07,8837.333333333334,0.81,50.333333333333336,44.5,50.5,44.333333333333336,7,7,2021
2021-07-08,6895.25,0.9025,51.5,43.625,51.0,43.75,8,7,2021
2021-07-09,6728.0,0.7444444444444445,51.77777777777778,43.333333333333336,51.22222222222222,44.0,9,7,2021
2021-07-10,6790.444444444444,0.7100000000000001,50.44444444444444,43.55555555555556,50.44444444444444,44.22222222222222,10,7,2021
2021-07-11,9233.5,0.7316666666666668,50.666666666666664,43.333333333333336,50.666666666666664,43.833333333333336,11,7,2021
2021-07-12,9233.5,0.7083333333333334,50.5,43.5,50.5,44.0,12,7,2021
2021-07-13,9186.666666666666,0.8383333333333334,50.166666666666664,43.0,50.5,43.166666666666664,13,7,2021
2021-07-14,8744.166666666666,0.9783333333333334,51.833333333333336,43.5,52.166666666666664,43.333333333333336,14,7,2021
2021-07-15,6252.555555555556,1.068888888888889,53.0,42.22222222222222,52.77777777777778,42.22222222222222,15,7,2021
2021-07-16,5432.727272727273,1.0018181818181817,53.72727272727273,42.54545454545455,53.18181818181818,42.90909090909091,16,7,2021
2021-07-17,5071.666666666667,0.9608333333333334,53.333333333333336,42.916666666666664,52.75,43.333333333333336,17,7,2021
2021-07-18,5329.272727272727,0.950909090909091,52.90909090909091,43.0,52.18181818181818,43.36363636363637,18,7,2021
2021-07-19,6063.111111111111,1.1977777777777776,53.111111111111114,42.888888888888886,52.333333333333336,42.666666666666664,19,7,2021
2021-07-20,6023.222222222223,1.1288888888888888,52.333333333333336,43.0,51.666666666666664,43.0,20,7,2021
2021-07-21,5455.0,1.249,52.1,43.2,51.7,43.1,21,7,2021
2021-07-22,6574.25,1.2525,51.625,43.125,51.625,43.0,22,7,2021
2021-07-23,6811.25,1.105,52.0,42.25,51.625,43.375,23,7,2021
2021-07-24,6183.222222222223,1.07,50.55555555555556,42.666666666666664,50.55555555555556,43.77777777777778,24,7,2021
2021-07-25,5714.9,1.033,50.1,43.6,50.3,44.0,25,7,2021
2021-07-26,6105.333333333333,1.1422222222222222,49.666666666666664,44.0,50.0,44.111111111111114,26,7,2021
